bundle_id,sample_id,persona_id,persona_label,concept_gap,concept_gap_label
profile_bundle_s01,profile_bundle_s01,steady_mastery_builder,steady_mastery_builder,建模效果,建模效果
profile_bundle_s01,profile_bundle_s01,steady_mastery_builder,steady_mastery_builder,特征选择,特征选择
profile_bundle_s01,profile_bundle_s01,steady_mastery_builder,steady_mastery_builder,维度约简,维度约简
profile_bundle_s01,profile_bundle_s01,steady_mastery_builder,steady_mastery_builder,大数据分析与挖掘：常用特征表示、特征提取和特征选择的方法；常用的数据建模方法,大数据分析与挖掘：常用特征表示、特征提取和特征选择的方法；常用的数据建模方法
profile_bundle_s02,profile_bundle_s02,low_activity_risk,low_activity_risk,DataNode,DataNode
profile_bundle_s02,profile_bundle_s02,low_activity_risk,low_activity_risk,HBase,HBase
profile_bundle_s02,profile_bundle_s02,low_activity_risk,low_activity_risk,HDFS架构,HDFS架构
profile_bundle_s02,profile_bundle_s02,low_activity_risk,low_activity_risk,NameNode,NameNode
profile_bundle_s02,profile_bundle_s02,low_activity_risk,low_activity_risk,NoSQL,NoSQL
profile_bundle_s02,profile_bundle_s02,low_activity_risk,low_activity_risk,关系型瓶颈,关系型瓶颈
profile_bundle_s02,profile_bundle_s02,low_activity_risk,low_activity_risk,列式存储,列式存储
profile_bundle_s02,profile_bundle_s02,low_activity_risk,low_activity_risk,半结构化数据,半结构化数据
profile_bundle_s02,profile_bundle_s02,low_activity_risk,low_activity_risk,扩展性,扩展性
profile_bundle_s02,profile_bundle_s02,low_activity_risk,low_activity_risk,大数据存储与管理：分布式数据库中典型技术HBase,大数据存储与管理：分布式数据库中典型技术HBase
profile_bundle_s02,profile_bundle_s02,low_activity_risk,low_activity_risk,大数据存储与管理：非关系型数据库兴起的原因；与关系型数据库对比,大数据存储与管理：非关系型数据库兴起的原因；与关系型数据库对比
profile_bundle_s03,profile_bundle_s03,deadline_crammer,deadline_crammer,噪声机制,噪声机制
profile_bundle_s03,profile_bundle_s03,deadline_crammer,deadline_crammer,差分隐私,差分隐私
profile_bundle_s03,profile_bundle_s03,deadline_crammer,deadline_crammer,隐私保护,隐私保护
profile_bundle_s03,profile_bundle_s03,deadline_crammer,deadline_crammer,大数据处理与架构：当前主流的分布式计算构架：MapReduce和Spark,大数据处理与架构：当前主流的分布式计算构架：MapReduce和Spark
profile_bundle_s03,profile_bundle_s03,deadline_crammer,deadline_crammer,大数据处理与架构：大数据计算处理加速技术：GPU、TPU和FPGA；大数据安全的意义和面临的问题,大数据处理与架构：大数据计算处理加速技术：GPU、TPU和FPGA；大数据安全的意义和面临的问题
profile_bundle_s03,profile_bundle_s03,deadline_crammer,deadline_crammer,大数据安全与隐私保护：大数据隐私保护的意义；大数据在网络安全中的应用,大数据安全与隐私保护：大数据隐私保护的意义；大数据在网络安全中的应用
profile_bundle_s04,profile_bundle_s04,visual_practice_seeker,visual_practice_seeker,噪声机制,噪声机制
profile_bundle_s04,profile_bundle_s04,visual_practice_seeker,visual_practice_seeker,差分隐私,差分隐私
profile_bundle_s04,profile_bundle_s04,visual_practice_seeker,visual_practice_seeker,隐私保护,隐私保护
profile_bundle_s04,profile_bundle_s04,visual_practice_seeker,visual_practice_seeker,大数据处理与架构：大数据计算处理加速技术：GPU、TPU和FPGA；大数据安全的意义和面临的问题,大数据处理与架构：大数据计算处理加速技术：GPU、TPU和FPGA；大数据安全的意义和面临的问题
