concept_gap_label,occurrence_count,affected_sample_count,affected_persona_count,persona_coverage_ratio,sample_ids,persona_labels
噪声机制,2,2,2,0.5,"[""profile_bundle_s03"", ""profile_bundle_s04""]","[""deadline_crammer"", ""visual_practice_seeker""]"
大数据处理与架构：大数据计算处理加速技术：GPU、TPU和FPGA；大数据安全的意义和面临的问题,2,2,2,0.5,"[""profile_bundle_s03"", ""profile_bundle_s04""]","[""deadline_crammer"", ""visual_practice_seeker""]"
差分隐私,2,2,2,0.5,"[""profile_bundle_s03"", ""profile_bundle_s04""]","[""deadline_crammer"", ""visual_practice_seeker""]"
隐私保护,2,2,2,0.5,"[""profile_bundle_s03"", ""profile_bundle_s04""]","[""deadline_crammer"", ""visual_practice_seeker""]"
DataNode,1,1,1,0.25,"[""profile_bundle_s02""]","[""low_activity_risk""]"
HBase,1,1,1,0.25,"[""profile_bundle_s02""]","[""low_activity_risk""]"
HDFS架构,1,1,1,0.25,"[""profile_bundle_s02""]","[""low_activity_risk""]"
NameNode,1,1,1,0.25,"[""profile_bundle_s02""]","[""low_activity_risk""]"
NoSQL,1,1,1,0.25,"[""profile_bundle_s02""]","[""low_activity_risk""]"
关系型瓶颈,1,1,1,0.25,"[""profile_bundle_s02""]","[""low_activity_risk""]"
列式存储,1,1,1,0.25,"[""profile_bundle_s02""]","[""low_activity_risk""]"
半结构化数据,1,1,1,0.25,"[""profile_bundle_s02""]","[""low_activity_risk""]"
大数据分析与挖掘：常用特征表示、特征提取和特征选择的方法；常用的数据建模方法,1,1,1,0.25,"[""profile_bundle_s01""]","[""steady_mastery_builder""]"
大数据处理与架构：当前主流的分布式计算构架：MapReduce和Spark,1,1,1,0.25,"[""profile_bundle_s03""]","[""deadline_crammer""]"
大数据存储与管理：分布式数据库中典型技术HBase,1,1,1,0.25,"[""profile_bundle_s02""]","[""low_activity_risk""]"
大数据存储与管理：非关系型数据库兴起的原因；与关系型数据库对比,1,1,1,0.25,"[""profile_bundle_s02""]","[""low_activity_risk""]"
大数据安全与隐私保护：大数据隐私保护的意义；大数据在网络安全中的应用,1,1,1,0.25,"[""profile_bundle_s03""]","[""deadline_crammer""]"
建模效果,1,1,1,0.25,"[""profile_bundle_s01""]","[""steady_mastery_builder""]"
扩展性,1,1,1,0.25,"[""profile_bundle_s02""]","[""low_activity_risk""]"
特征选择,1,1,1,0.25,"[""profile_bundle_s01""]","[""steady_mastery_builder""]"
维度约简,1,1,1,0.25,"[""profile_bundle_s01""]","[""steady_mastery_builder""]"
